submission_id,purchase
WApV6N,Local cafe
WApV6N,Specialty coffee shop
0EjRyj,Specialty coffee shop
0EjRyj,Local cafe
0EjRyj,"National chain (e.g. Starbucks, Dunkin)"
jB9AzQ,Local cafe
jB9AzQ,Specialty coffee shop
MAdp2M,Local cafe
MAdp2M,Specialty coffee shop
MAdp2M,"National chain (e.g. Starbucks, Dunkin)"
g5N6XO,"National chain (e.g. Starbucks, Dunkin)"
g5N6XO,Specialty coffee shop
GrBA4k,"National chain (e.g. Starbucks, Dunkin)"
GrBA4k,Local cafe
WApV7a,"National chain (e.g. Starbucks, Dunkin)"
WApV7a,Specialty coffee shop
rlrMMl,Local cafe
rlrMMl,Specialty coffee shop
5dqPa6,"National chain (e.g. Starbucks, Dunkin)"
5dqPa6,Specialty coffee shop
XeBPAj,"National chain (e.g. Starbucks, Dunkin)"
LdMLxj,Specialty coffee shop
LdMLxj,Deli or supermarket
LdMLxj,Local cafe
RzByQ9,Local cafe
RzByQ9,Specialty coffee shop
PABJqb,"National chain (e.g. Starbucks, Dunkin)"
5dqP06,Deli or supermarket
LdMLr1,Specialty coffee shop
LdMLr1,Local cafe
vNx5RA,Deli or supermarket
vNx59Q,"National chain (e.g. Starbucks, Dunkin)"
vNx59Q,Specialty coffee shop
EPb72o,"National chain (e.g. Starbucks, Dunkin)"
EPb72o,Specialty coffee shop
EPb72o,Local cafe
PABJxb,Local cafe
6dQE6P,Deli or supermarket
6dQE6P,Specialty coffee shop
rlrM8l,Local cafe
7d9rkA,Local cafe
7d9rkA,"National chain (e.g. Starbucks, Dunkin)"
YZzl6d,Local cafe
YZzl6d,Specialty coffee shop
xdN5AG,Specialty coffee shop
xdN5AG,"National chain (e.g. Starbucks, Dunkin)"
YZzl2q,"National chain (e.g. Starbucks, Dunkin)"
YZzl2q,Local cafe
YZzl2q,Specialty coffee shop
zKQ5Ba,Local cafe
VZ1OgE,Local cafe
VZ1OgE,Specialty coffee shop
9dJjjY,Local cafe
bl4QRg,Specialty coffee shop
bl4QRg,Local cafe
AlbeXk,"National chain (e.g. Starbucks, Dunkin)"
QABllp,Local cafe
QABllp,Specialty coffee shop
kYRBL6,Local cafe
kYRBL6,Specialty coffee shop
vNx58v,Specialty coffee shop
vNx58v,Local cafe
OABMRK,Specialty coffee shop
VZ1O6v,Specialty coffee shop
VZ1O6v,"National chain (e.g. Starbucks, Dunkin)"
jB9AjR,Local cafe
AlbeM0,Local cafe
AlbeM0,"National chain (e.g. Starbucks, Dunkin)"
AlbeM0,Specialty coffee shop
OABM28,Local cafe
OABMq7,Specialty coffee shop
OABMq7,Local cafe
24xG6V,Deli or supermarket
MAdpZp,Drive-thru
MAdpZp,"National chain (e.g. Starbucks, Dunkin)"
MAdpZp,Local cafe
7d9r0P,Local cafe
7d9r0P,Specialty coffee shop
7d9r0P,"National chain (e.g. Starbucks, Dunkin)"
BGbWRN,Specialty coffee shop
xdN5Wo,Specialty coffee shop
xdN5Wo,Drive-thru
xdN5Wo,Local cafe
xdN5Wo,"National chain (e.g. Starbucks, Dunkin)"
9dJjeG,Other
42NVZb,Specialty coffee shop
42NVZb,"National chain (e.g. Starbucks, Dunkin)"
42NVZb,Local cafe
42NVZb,Deli or supermarket
42NVZb,Drive-thru
kYRBBM,"National chain (e.g. Starbucks, Dunkin)"
RzBy7P,"National chain (e.g. Starbucks, Dunkin)"
RzBy7P,Local cafe
ylqaNd,Local cafe
ylqaNd,Specialty coffee shop
MAdpog,Local cafe
oAVj6M,Specialty coffee shop
zKQ6jg,Local cafe
VZ16pN,Specialty coffee shop
ZdRBOV,Local cafe
lNlEBX,Local cafe
42NbKA,Specialty coffee shop
eBxW1o,Local cafe
eBxW1o,Specialty coffee shop
eBxW1o,Other
oAVLrM,Specialty coffee shop
42NbKr,"National chain (e.g. Starbucks, Dunkin)"
oAVj2b,Specialty coffee shop
GrBA2z,Local cafe
GrBA2z,Specialty coffee shop
MAdxRk,"National chain (e.g. Starbucks, Dunkin)"
YZzlN6,"National chain (e.g. Starbucks, Dunkin)"
YZzlN6,Specialty coffee shop
YZzlN6,Local cafe
YZzlN6,Deli or supermarket
KMBjeD,"National chain (e.g. Starbucks, Dunkin)"
KMBjeD,Specialty coffee shop
KMBjeD,Drive-thru
KMBjeD,Local cafe
vNx9eg,"National chain (e.g. Starbucks, Dunkin)"
