submission_id,brew_other
xd4bKy,Aeropress
GrXOqp,Aeropress
Xe1PKP,Clever Dripper
8dABok,Aeropress
zK2p0M,Xbloom
pLRj4B,Aeropress
VZvRWl,X Bloom
8d6Nxl,Aeropress
DVxplq,Aeropress
blYW2Z,Aeropress
vNJP54,Aeropress
24lNeL,Moka pot
DVx1aR,Aeropress
xdRgQy,Moka Pot
eB0ezx,Mocha pot
Ld69rj,Aeropress/Clever Dripper
DVZNMN,Aeropress
RzVLkd,Aeropress
GrQL1z,Mokka
GrQL1z,Turkish ibrik
GrQL1z,Aeropress
OAoB5M,Aeropress
jBkEvR,Aeropress
42pdPB,Aeropress
zK1oKM,Aeropress
QAOaNl,Aeropress
J2M1ko,Aeropress
kYzalJ,Aeropress
Grb9O2,Aeropress
7dEobZ,Aeropress
9d4vR4,Moka Pot
24oDgL,Moka Pot
blzgY1,aeropress
yl1GZ8,Aeropress
jBEVgx,Aeropress
aBlMgq,AeroPress
oAxPWX,AeroPress
1rOvMQ,Clever dripper
Rz2JQv,Aeropress
Rz2JQv,Moka Pot
g5ggRM,Aeropress
0EGYe9,Aeropress
