submission_id,sweetener
42pjyB,Granulated Sugar
bl62ee,Raw Sugar (Turbinado)
bl6Nr2,Raw Sugar (Turbinado)
YZxV75,Raw Sugar (Turbinado)
aBa8l9,Stevia
7dMLqa,Granulated Sugar
7dMLqa,Raw Sugar (Turbinado)
42zJob,Granulated Sugar
RzjoPd,Granulated Sugar
jBzo99,Granulated Sugar
VZNxYM,Brown Sugar
DVaWjl,Raw Sugar (Turbinado)
eBz8bE,Honey
eBz8bE,Granulated Sugar
9d4eBQ,Stevia
DVWzjb,Raw Sugar (Turbinado)
oAxPWX,Granulated Sugar
qbN99Y,Maple Syrup
qbN99Y,Brown Sugar
24VxvM,Honey
24VxvM,Agave Nectar
24VxvM,Granulated Sugar
pL54N8,Granulated Sugar
0EGYe9,Granulated Sugar
