submission_id,brew,brew_other
VZ1W4y,Pour over,NULL
kYR8ve,Pour over,NULL
YZz7oN,Pour over,NULL
YZz7oN,Espresso,NULL
OABxYM,Pour over,NULL
OABxYM,French press,NULL
OABxYM,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
xdN8lv,NULL,NULL
eBxgYk,Espresso,NULL
RzBqj9,Pour over,NULL
RzBqj9,Cold brew,NULL
RzBqj9,Coffee brewing machine (e.g. Mr. Coffee),NULL
1r2QGg,Pour over,NULL
1r2QGg,Espresso,NULL
1r2QGg,French press,NULL
pLPYZJ,Pour over,NULL
MAdj6k,Pour over,NULL
MAdj6k,Espresso,NULL
OABxER,Pour over,NULL
BGbJ0K,Pour over,NULL
BGbJ0K,Espresso,NULL
qbE8jO,Pour over,NULL
kYR8ze,NULL,NULL
GrBODQ,Pour over,NULL
GrBODQ,French press,NULL
GrBODQ,Coffee brewing machine (e.g. Mr. Coffee),NULL
vNx8KD,Pour over,Aero press
vNx8KD,Cold brew,Aero press
vNx8KD,Other,Aero press
oAV8VN,Pour over,NULL
oAV8VN,Cold brew,NULL
oAV8VN,Coffee brewing machine (e.g. Mr. Coffee),NULL
oAV8VN,Espresso,NULL
VZ1Wxg,Pour over,NULL
24x9Oe,Pour over,NULL
24x9Oe,Espresso,NULL
24x9Oe,Cold brew,NULL
KMBrO8,Pour over,NULL
KMBrO8,Espresso,NULL
KMBrO8,Coffee brewing machine (e.g. Mr. Coffee),NULL
WApa1v,Pour over,Hario Switch
WApa1v,Other,Hario Switch
bl41gL,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
EPbovB,NULL,NULL
ylq8e8,Pour over,NULL
24x9ZL,Coffee extract (e.g. Cometeer),NULL
24x9ZL,Espresso,NULL
MAdjGM,Pour over,NULL
24x9Zj,Other,Aeropress
rlr8kR,Coffee brewing machine (e.g. Mr. Coffee),NULL
rlr8kR,Cold brew,NULL
g5N8pl,Pour over,NULL
rlr8qN,NULL,NULL
ylq87g,Pour over,NULL
GrBO7Z,Espresso,NULL
GrBO7Z,Pour over,NULL
GrBO7Z,Coffee brewing machine (e.g. Mr. Coffee),NULL
NAB2Rj,Espresso,NULL
NAB2Rj,Pour over,NULL
NAB2Rj,Cold brew,NULL
RzBqkj,Pour over,NULL
RzBqkj,French press,NULL
RzBqkj,Espresso,NULL
RzBqkj,Coffee brewing machine (e.g. Mr. Coffee),NULL
xdN86r,Pour over,NULL
9dJArQ,NULL,NULL
EPboa4,Pour over,NULL
WApaQN,NULL,NULL
42NlN5,French press,Aeropress
42NlN5,Other,Aeropress
AlbM50,French press,NULL
QABNap,Coffee extract (e.g. Cometeer),NULL
dY2Jkd,Cold brew,NULL
RzBqr9,Pour over,NULL
RzBqr9,Espresso,NULL
RzBqr9,Cold brew,NULL
lNl89W,NULL,NULL
PABZGB,Coffee brewing machine (e.g. Mr. Coffee),NULL
PABZGB,Pour over,NULL
RzBqjj,Pour over,NULL
RzBqjj,French press,NULL
RzBqjj,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
LdM4ov,Pour over,Aeropress
LdM4ov,Espresso,Aeropress
