submission_id,purchase,purchase_other
42NlOY,NULL,NULL
MAdjPM,NULL,NULL
8dpb5O,NULL,NULL
1r2QRl,Specialty coffee shop,NULL
1r2QRl,"National chain (e.g. Starbucks, Dunkin)",NULL
jB985Q,NULL,NULL
J2kEBo,NULL,NULL
eBxgvk,NULL,NULL
7d97jZ,Local cafe,NULL
7d97jZ,Specialty coffee shop,NULL
dY2JzK,Specialty coffee shop,NULL
PABZe5,NULL,NULL
J2kEGo,NULL,NULL
ylq8zx,NULL,NULL
WApapR,NULL,NULL
xdN8z5,NULL,NULL
NAB2dj,NULL,NULL
ylq81x,NULL,NULL
vNx8zD,"National chain (e.g. Starbucks, Dunkin)",NULL
vNx8zD,Specialty coffee shop,NULL
oAV8zP,Deli or supermarket,NULL
oAV8zP,Specialty coffee shop,NULL
QABNkG,NULL,NULL
8dpbDA,NULL,NULL
YZz760,NULL,NULL
PABZqd,NULL,NULL
oAV8LX,Local cafe,NULL
XeB6Pd,NULL,NULL
AlbMRB,NULL,NULL
jB98XR,NULL,NULL
NAB2Zb,NULL,NULL
aBrpMy,NULL,NULL
OABxKK,Specialty coffee shop,NULL
OABxKK,Local cafe,NULL
pLPYlP,NULL,NULL
EPbooq,NULL,NULL
XeB6je,NULL,NULL
PABZq0,NULL,NULL
GrBOE2,Local cafe,NULL
pLPYYZ,NULL,NULL
GrBOVj,NULL,NULL
DVvROb,NULL,NULL
rlr8Z5,Local cafe,NULL
rlr8Z5,Specialty coffee shop,NULL
rlr8Z5,"National chain (e.g. Starbucks, Dunkin)",NULL
KMBr2M,NULL,NULL
kYR8BJ,NULL,NULL
aBrpJ9,NULL,NULL
bl41a0,NULL,NULL
RzBqyp,NULL,NULL
1r2Q0M,NULL,NULL
GrBOO2,NULL,NULL
jB98V6,Specialty coffee shop,NULL
jB98V6,"National chain (e.g. Starbucks, Dunkin)",NULL
QABNpg,NULL,NULL
DVvR6j,NULL,NULL
xdN8q9,NULL,NULL
xdN8W9,NULL,NULL
9dJAzX,NULL,NULL
rlr8ep,Local cafe,NULL
rlr8ep,Specialty coffee shop,NULL
WApa4L,"National chain (e.g. Starbucks, Dunkin)",NULL
lNl8pV,NULL,NULL
9dJAbX,Specialty coffee shop,NULL
zKQ8A1,Specialty coffee shop,NULL
zKQ8A1,"National chain (e.g. Starbucks, Dunkin)",NULL
zKQ8A1,Local cafe,NULL
QABNP1,NULL,NULL
pLPYEE,NULL,NULL
GrBOMQ,NULL,NULL
RzBqpQ,NULL,NULL
24x9MM,NULL,NULL
7d9rX0,NULL,NULL
YZz72z,NULL,NULL
42Nl0b,NULL,NULL
lNl8JX,NULL,NULL
xdN8kd,NULL,NULL
VZ1WWE,NULL,NULL
bl4QV6,NULL,NULL
LdM4xG,NULL,NULL
VZ1OLj,NULL,NULL
KMBrrk,NULL,NULL
5dqaWQ,NULL,NULL
NAB22W,NULL,NULL
eBxWZx,NULL,NULL
OABxOM,NULL,NULL
lNl825,NULL,NULL
EPboy2,NULL,NULL
LdM48z,NULL,NULL
KMBKYX,Specialty coffee shop,NULL
KMBKYX,Local cafe,NULL
NAB21W,Deli or supermarket,NULL
NAB21W,Local cafe,NULL
42NlMo,NULL,NULL
BGbJv4,NULL,NULL
rlr8No,NULL,NULL
24xGEe,NULL,NULL
lNlkBN,NULL,NULL
eBxWae,NULL,NULL
WApavR,NULL,NULL
1r2o9p,NULL,NULL
OABM7R,NULL,NULL
aBrqOX,NULL,NULL
qbE1GG,Specialty coffee shop,NULL
8dp4aP,NULL,NULL
0EjR7j,NULL,NULL
YZz7EN,NULL,NULL
OABxRk,Drive-thru,NULL
OABxRk,"National chain (e.g. Starbucks, Dunkin)",NULL
OABxRk,Local cafe,NULL
AlbMgN,NULL,NULL
lNlk6k,NULL,NULL
OABxWM,"National chain (e.g. Starbucks, Dunkin)",NULL
OABxWM,Local cafe,NULL
xdN5Yy,NULL,NULL
AlbMYB,Specialty coffee shop,NULL
AlbMYB,Drive-thru,NULL
AlbMYB,Local cafe,NULL
ylq5Jg,NULL,NULL
VZ1WRj,NULL,NULL
jB9Ala,NULL,NULL
YZzl4B,NULL,NULL
J2kvz4,NULL,NULL
oAV8W5,NULL,NULL
oAVLGe,Specialty coffee shop,NULL
KMBKlA,NULL,NULL
6dQEDY,NULL,NULL
1r2o7Q,NULL,NULL
1r2oVQ,NULL,NULL
0EjR8y,NULL,NULL
LdMLzp,NULL,NULL
LdML7p,NULL,NULL
jB9Ab4,NULL,NULL
aBrq4B,NULL,NULL
DVv6Nq,NULL,NULL
DVv6pR,NULL,NULL
rlrMON,"National chain (e.g. Starbucks, Dunkin)",NULL
rlrMON,Local cafe,NULL
g5N6Ml,NULL,NULL
NAB1oB,NULL,NULL
VZ1Ojy,"National chain (e.g. Starbucks, Dunkin)",NULL
VZ1Ojy,Local cafe,NULL
dY2exq,NULL,NULL
RzByo9,NULL,NULL
rlrMoN,NULL,NULL
XeBP4g,NULL,NULL
DVv6qN,NULL,NULL
