submission_id,additions
OABxEg,"Milk, dairy alternative, or coffee creamer"
NAB2gB,No - just black
vNx8vQ,"Milk, dairy alternative, or coffee creamer"
LdM4yj,No - just black
qbE8k9,No - just black
qbE8v9,"No - just black, Sugar or sweetener, Milk, dairy alternative, or coffee creamer"
dY2J8d,"Milk, dairy alternative, or coffee creamer"
jB98Yx,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
rlr8gN,"Milk, dairy alternative, or coffee creamer"
XeB6Ng,"No - just black, Milk, dairy alternative, or coffee creamer"
OABx97,"Milk, dairy alternative, or coffee creamer"
42NlEX,"No - just black, Milk, dairy alternative, or coffee creamer"
LdM4al,No - just black
ZdRbDB,"No - just black, Milk, dairy alternative, or coffee creamer"
6dQ6Vk,No - just black
8dpbVx,"Milk, dairy alternative, or coffee creamer, Flavor syrup, No - just black"
6dQ65P,"Milk, dairy alternative, or coffee creamer"
1r2Q6l,No - just black
7d97MR,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
ylq8GB,"Milk, dairy alternative, or coffee creamer"
kYR8p1,No - just black
8dpbgx,No - just black
VZ1Wqg,No - just black
WApaBa,No - just black
dY2J1q,No - just black
vNx8W0,No - just black
5dqaOo,Sugar or sweetener
QABNWp,"No - just black, Milk, dairy alternative, or coffee creamer"
ZdRbQo,No - just black
NAB2yB,No - just black
oAV81e,No - just black
PABZYx,"Milk, dairy alternative, or coffee creamer"
PABZWb,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
XeB6v4,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
9dJAxQ,No - just black
DVvRE5,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
lNl87X,"Milk, dairy alternative, or coffee creamer"
eBxgye,"Milk, dairy alternative, or coffee creamer"
aBrpgq,No - just black
OABxrR,No - just black
WApajv,
1r2QxQ,No - just black
AlbM9z,No - just black
8dpbWO,No - just black
7d97zA,"Milk, dairy alternative, or coffee creamer"
24x9zV,Sugar or sweetener
VZ1W9j,No - just black
rlr8YN,No - just black
xdN80d,No - just black
1r2QgW,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
EPbo64,No - just black
qbE877,No - just black
KMBrGV,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
6dQ6WY,"Milk, dairy alternative, or coffee creamer"
EPboA4,"Milk, dairy alternative, or coffee creamer"
PABZy5,"Milk, dairy alternative, or coffee creamer"
ZdRbgz,"Milk, dairy alternative, or coffee creamer"
EPbo6r,No - just black
6dQ6zB,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
LdM4Ey,"Milk, dairy alternative, or coffee creamer"
ylq8gg,No - just black
42NlOY,No - just black
MAdjPM,No - just black
8dpb5O,"No - just black, Milk, dairy alternative, or coffee creamer"
1r2QRl,"No - just black, Milk, dairy alternative, or coffee creamer"
jB985Q,No - just black
J2kEBo,"Milk, dairy alternative, or coffee creamer"
eBxgvk,"Milk, dairy alternative, or coffee creamer"
7d97jZ,"Milk, dairy alternative, or coffee creamer, No - just black"
dY2JzK,No - just black
PABZe5,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
J2kEGo,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
ylq8zx,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
WApapR,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
xdN8z5,No - just black
NAB2dj,No - just black
ylq81x,No - just black
vNx8zD,"Milk, dairy alternative, or coffee creamer, Flavor syrup, No - just black"
oAV8zP,No - just black
QABNkG,"Milk, dairy alternative, or coffee creamer"
8dpbDA,No - just black
YZz760,No - just black
PABZqd,"Milk, dairy alternative, or coffee creamer"
oAV8LX,"Milk, dairy alternative, or coffee creamer"
XeB6Pd,No - just black
AlbMRB,No - just black
jB98XR,"Milk, dairy alternative, or coffee creamer, Flavor syrup"
NAB2Zb,"Milk, dairy alternative, or coffee creamer"
aBrpMy,"Milk, dairy alternative, or coffee creamer"
OABxKK,"Milk, dairy alternative, or coffee creamer, No - just black"
pLPYlP,
EPbooq,"Sugar or sweetener, Flavor syrup"
XeB6je,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, No - just black"
PABZq0,No - just black
GrBOE2,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
pLPYYZ,No - just black
GrBOVj,No - just black
DVvROb,No - just black
rlr8Z5,"Milk, dairy alternative, or coffee creamer"
KMBr2M,No - just black
kYR8BJ,No - just black
aBrpJ9,"Milk, dairy alternative, or coffee creamer"
bl41a0,No - just black
RzBqyp,No - just black
1r2Q0M,No - just black
GrBOO2,No - just black
jB98V6,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer"
QABNpg,No - just black
DVvR6j,"Milk, dairy alternative, or coffee creamer, No - just black"
xdN8q9,No - just black
xdN8W9,No - just black
9dJAzX,No - just black
rlr8ep,No - just black
